STATE,ST_POP,REPs,POP_REP
Alabama,5030053,7,718579
Alaska,736081,1,736081
Arizona,7158923,9,795436
Arkansas,3013756,4,753439
California,39576757,52,761091
Colorado,5782171,8,722771
Connecticut,3608298,5,721660
Delaware,990837,1,990837
Florida,21570527,28,770376
Georgia,10725274,14,766091
Hawaii,1460137,2,730069
Idaho,1841377,2,920689
Illinois,12822739,17,754279
Indiana,6790280,9,754476
Iowa,3192406,4,798102
Kansas,2940865,4,735216
Kentucky,4509342,6,751557
Louisiana,4661468,6,776911
Maine,1363582,2,681791
Maryland,6185278,8,773160
Massachusetts,7033469,9,781497
Michigan,10084442,13,775726
Minnesota,5709752,8,713719
Mississippi,2963914,4,740979
Missouri,6160281,8,770035
Montana,1085407,2,542704
Nebraska,1963333,3,654444
Nevada,3108462,4,777116
New Hampshire,1379089,2,689545
New Jersey,9294493,12,774541
New Mexico,2120220,3,706740
New York,20215751,26,777529
North Carolina,10453948,14,746711
North Dakota,779702,1,779702
Ohio,11808848,15,787257
Oklahoma,3963516,5,792703
Oregon,4241500,6,706917
Pennsylvania,13011844,17,765403
Rhode Island,1098163,2,549082
South Carolina,5124712,7,732102
South Dakota,887770,1,887770
Tennessee,6916897,9,768544
Texas,29183290,38,767981
Utah,3275252,4,818813
Vermont,643503,1,643503
Virginia,8654542,11,786777
Washington,7715946,10,771595
West Virginia,1795045,2,897523
Wisconsin,5897473,8,737184
Wyoming,577719,1,577719
