"","ST","Pstate","MinDisPval","Metric"
"1","CA",0.0715806763382011,0.0355499497286521,"PP"
"2","FL",0.998666506789244,0.0431471291628289,"PP"
"3","MO",0.971262475403764,0.281289069122793,"PP"
"4","NC",0.219118565438054,0.184507801544735,"PP"
"5","TX",0.0257477550123087,0.0153414810345266,"PP"
"6","VA",0.00720745719694666,0.0760834264748932,"PP"
"7","CA",0.0571838006947361,0.00287558553717312,"RK"
"8","FL",0.909810616037302,0.000389187423741229,"RK"
"9","MO",0.922248694167344,0.468154242617767,"RK"
"10","NC",0.878764108265247,0.19291954518829,"RK"
"11","TX",0.0436915468218043,0.0132237622010888,"RK"
"12","VA",0.000422878038127933,0.0328920849312996,"RK"
