"Estimate","Std. Error","z value","Pr(>|z|)"
0.376742208617783,0.0611197061775922,6.16400555858538,7.0927451397891e-10
0.00596043457690476,0.0865716891864451,0.0688496970882487,0.945109259353115
0.0691417723278774,0.0876719922837007,0.788641509413168,0.430321562731692
-0.0207506991109364,0.0858566062649185,-0.241690185690641,0.809020234835092
0.00715994306950964,0.0866002636220258,0.0826780747545968,0.93410751898418
-0.0188741900623801,0.0859118047261479,-0.21969262690434,0.826110547271451
-0.0129347430636921,0.0860815443157634,-0.150261512691327,0.880558296605517
0.0574645030911372,0.0875301780501947,0.656510752876384,0.511495551248727
0.0488018842791731,0.0874070800581382,0.558328733172563,0.576619927808077
-0.0027790459052327,0.0863543683379602,-0.0321818798367733,0.9743270064898
0.00443170529975453,0.0865348345608463,0.0512129632216308,0.959155822243438
0.0318659068722314,0.0871221196414478,0.365761381878402,0.714543138810553
0.0153143550226233,0.086786536753924,0.176460031652673,0.859932546043078
0.0744365497727074,0.0877271996358725,0.848500238029592,0.396159439956929
0.0982381331777105,0.125346096108215,0.783735084121796,0.43319557160584
0.0597553059427799,0.0875601790371321,0.682448421187434,0.494955446744499
0.0651238847595311,0.0876263155050018,0.743200080754437,0.457360554486624
-0.000535320306896463,0.0864116974108864,-0.0061949981650172,0.995057138226144
-0.0149692717376387,0.0860242502039085,-0.174012231459806,0.86185584957146
0.0136175486581328,0.0867489202540987,0.156976578131984,0.875263307176343
0.0114125637953942,0.0866991406392303,0.131634105150866,0.89527370823196
-0.056742585734431,0.084649655059856,-0.670322704732915,0.502652096465452
-0.0155091423414021,0.0860088985465603,-0.180320206437783,0.856901193230978
0.0300608834732893,0.0870882751016477,0.345177160050567,0.729961188394277
-0.0574273176409477,0.0846239221459484,-0.678618009951187,0.497379928421777
0.0207612595525175,0.08690324015958,0.238900868533712,0.811182452065951
-0.0280560321764895,0.0856344957967725,-0.327625356060623,0.743194947818399
19.7830875656114,3.07497350828316,6.43357983810952,1.24633081280546e-10
0.100735251007359,NA,NA,NA
-74.4959699773794,NA,NA,NA
43.7549995386866,NA,NA,NA
